simTime,connectivity,neurons,memory,CPU,timeout,hasExecuted,setupTime,execTime,startTime,endTime,measureTime,hasEndedInTimeout,hasEndedInError
0.003,0.08429689882678654,5274,16384,16,14400,True,0.13,23.73,1582732136.529453,1582732161.3712094,24.841756343841553,False,False
0.003,0.38767876805593404,330,16384,16,14400,True,0.0,3.9,1582732161.398868,1582732166.0644069,4.665538787841797,False,False
0.003,0.5092509188276256,228,16384,16,14400,True,0.0,3.63,1582732166.09436,1582732170.5603263,4.46596622467041,False,False
0.003,0.05010140258531251,6031,16384,16,14400,True,0.15,23.6,1582732170.590018,1582732195.0846522,24.49463415145874,False,False
0.003,0.7787355458738761,6877,16384,16,14400,True,0.31,150.49,1582732195.1106813,1582732346.876739,151.76605772972107,False,False
0.003,0.02370486293992275,1067,16384,16,14400,True,0.01,4.4,1582732346.9019413,1582732352.2648594,5.362918138504028,False,False
0.003,0.8886283748674255,4184,16384,16,14400,True,0.11,85.23,1582732352.290435,1582732438.373034,86.08259892463684,False,False
0.003,0.9279467608910401,8539,16384,16,14400,True,0.41,239.19,1582732438.398719,1582732678.8699827,240.47126364707947,False,False
0.003,0.9844645059173808,603,16384,16,14400,True,0.0,6.9,1582732678.8957772,1582732686.6596718,7.763894557952881,False,False
0.003,0.6260994851406044,8338,16384,16,14400,True,0.58,193.75,1582732686.6853335,1582732881.8871613,195.2018277645111,False,False
0.003,0.9504481904081258,449,16384,16,14400,True,0.0,4.7,1582732881.9132996,1582732887.4625719,5.549272298812866,False,False
0.003,0.42806644700803526,6993,16384,16,14400,True,0.5,99.63,1582732887.4886308,1582732988.5906959,101.10206508636475,False,False
0.003,0.981809120427585,8383,16384,16,14400,True,0.38,171.11,1582732988.6179671,1582733160.8771987,172.2592315673828,False,False
0.003,0.4342306147443448,6777,16384,16,14400,True,0.48,64.82,1582733160.9027238,1582733227.2880244,66.3853006362915,False,False
0.003,0.7471085131610594,9986,16384,16,14400,True,0.67,246.03,1582733227.3144722,1582733474.7790902,247.4646179676056,False,False
0.003,0.17213234270189975,3687,16384,16,14400,True,0.09,22.91,1582733474.8054626,1582733498.661595,23.85613250732422,False,False
0.003,0.31374489679921497,9572,16384,16,14400,True,0.75,93.59,1582733498.6871326,1582733594.0948348,95.40770220756531,False,False
0.003,0.8669993890945081,1258,16384,16,14400,True,0.01,12.86,1582733594.1201904,1582733607.8686032,13.748412847518921,False,False
0.003,0.35502835099413216,4404,16384,16,14400,True,0.18,49.58,1582733607.8957922,1582733658.5794475,50.68365526199341,False,False
0.003,0.10967207442216685,6369,16384,16,14400,True,0.2,40.5,1582733658.6055834,1582733700.0855134,41.47992992401123,False,False
0.003,0.33673626207601504,3712,16384,16,14400,True,0.13,36.78,1582733700.1116216,1582733737.8692353,37.75761365890503,False,False
0.003,0.8083560156732348,643,16384,16,14400,True,0.0,5.92,1582733737.8951938,1582733744.556374,6.661180257797241,False,False
0.003,0.11409777324486205,8275,16384,16,14400,True,0.33,48.01,1582733744.5822504,1582733793.872923,49.29067254066467,False,False
0.003,0.6679248080961451,3286,16384,16,14400,True,0.09,54.31,1582733793.899255,1582733849.1697865,55.27053141593933,False,False
0.003,0.7165017490964894,7628,16384,16,14400,True,0.42,167.88,1582733849.1960123,1582734018.2790291,169.083016872406,False,False
0.003,0.5263458956361997,1470,16384,16,14400,True,0.02,16.58,1582734018.3048725,1582734035.756547,17.451674461364746,False,False
0.003,0.5394179708092026,8726,16384,16,14400,True,0.68,186.94,1582734035.7836485,1582734224.165395,188.38174653053284,False,False
0.003,0.6085772147789974,7484,16384,16,14400,True,0.48,134.52,1582734224.1920445,1582734360.0742388,135.8821942806244,False,False
0.003,0.9386341146415524,8727,16384,16,14400,True,0.41,210.2,1582734360.1002457,1582734571.4734914,211.37324571609497,False,False
0.003,0.3147427249801909,2967,16384,16,14400,True,0.08,23.72,1582734571.499324,1582734596.1692774,24.66995334625244,False,False
0.003,0.6191378344208889,704,16384,16,14400,True,0.01,7.2,1582734596.1953971,1582734604.0711489,7.875751733779907,False,False
0.003,0.03759434856084883,9923,16384,16,14400,True,0.35,39.97,1582734604.097753,1582734645.266225,41.16847205162048,False,False
0.003,0.3879740181045272,7995,16384,16,14400,True,0.61,105.71,1582734645.2925842,1582734752.583329,107.29074478149414,False,False
0.003,0.12214867628665783,8360,16384,16,14400,True,0.35,52.66,1582734752.6095872,1582734806.5831084,53.97352123260498,False,False
0.003,0.7735925003720252,1459,16384,16,14400,True,0.02,16.07,1582734806.6091313,1582734823.5555255,16.946394205093384,False,False
0.003,0.4676664722900018,6565,16384,16,14400,True,0.45,103.7,1582734823.5813613,1582734928.6811461,105.09978485107422,False,False
0.003,0.7839989415881073,3355,16384,16,14400,True,0.08,57.74,1582734928.70733,1582734987.3710265,58.66369652748108,False,False
0.003,0.27947335354964636,4810,16384,16,14400,True,0.19,46.82,1582734987.3981602,1582735035.2670066,47.86884641647339,False,False
0.003,0.801967459111208,6539,16384,16,14400,True,0.28,161.24,1582735035.2933073,1582735197.6681345,162.37482714653015,False,False
0.003,0.22939946251892396,7882,16384,16,14400,True,0.42,71.07,1582735197.6942415,1582735270.0960176,72.40177607536316,False,False
0.003,0.29060230368778733,5319,16384,16,14400,True,0.23,32.96,1582735270.1218047,1582735304.1688995,34.04709482192993,False,False
0.003,0.4609152376402069,4166,16384,16,14400,True,0.19,53.25,1582735304.195903,1582735358.4795587,54.283655643463135,False,False
0.003,0.2593207751954034,2325,16384,16,14400,True,0.05,15.27,1582735358.5055704,1582735374.674197,16.16862654685974,False,False
0.003,0.7752316651851265,9602,16384,16,14400,True,0.6,214.59,1582735374.7000847,1582735590.6702223,215.97013759613037,False,False
0.003,0.18399865349616173,9029,16384,16,14400,True,0.49,81.72,1582735590.6960564,1582735673.9799066,83.28385019302368,False,False
0.003,0.5452223856587698,4313,16384,16,14400,True,0.17,67.32,1582735674.005796,1582735742.267082,68.26128602027893,False,False
0.003,0.6659733630354622,5728,16384,16,14400,True,0.27,107.44,1582735742.2923384,1582735850.6786637,108.38632535934448,False,False
0.003,0.5664571609174249,2652,16384,16,14400,True,0.07,38.32,1582735850.7051346,1582735889.966466,39.26133131980896,False,False
0.003,0.07782249619472352,8843,16384,16,14400,True,0.33,53.38,1582735889.9924881,1582735944.6770012,54.684513092041016,False,False
